,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022
'Aggregate',230900,234000,237500,241600,244700,247700,249900,252600,255300,257400,259300,260400,265100,270700,276600,283100,288800,293400,296200,299200,302200,303000,303500,304100,308800,315400,321400,327400,333900,338600,341000,343200,345400,346200,346200,345800,349000,352000,354000,355000,354600,353200,349400,346700,343900,337600,332100,325000,322900,321900,321800,325200,329600,334100,337900,342200,346500,350100,352800,354000,357900,363300,367400,370000,371300,369700,367800,366800,365600,365100,365400,364700,368900,375300,381200,386200,391000,393700,395200,396600,397400,398000,398100,398500,402500,407800,412600,416600,417700,416400,414700,412500,410800,408600,406100,405500,406500,411600,415100,418800,420400,421500,422200,422700,423900,424600,424500,424400,428400,434200,437900,441900,444700,446500,446700,447200,448500,448900,449700,450200,453900,461200,468300,475000,480200,485300,488400,491900,495100,497100,499700,501800,511700,526300,540100,553900,566700,575100,580000,582000,584800,584200,584300,584100,596300,618400,641400,650700,646800,636700,623800,615000,611900,609200,607200,604600,605800,609400,611800,612000,609800,605600,600800,596500,592600,590400,584000,578100,576600,577100,579400,580800,579900,579200,578200,577200,578200,580300,579600,579800,586700,598700,605700,597500,600500,607700,619200,631400,640100,646300,654300,664000,689700,723300,752600,767000,775000,780100,780900,787100,801300,823600,844000,863600,913900,958100,966200,948700,926500,891400,857400,832900
'British_Columbia',378200,382000,385900,390700,394300,397900,403500,408600,414400,417000,419800,422900,430400,439200,446200,455800,464400,472000,475600,479600,482700,483000,481300,480900,487200,493800,499400,507200,514800,522100,526100,528400,532400,533800,534300,534500,540500,546600,553800,555000,555600,556200,549400,541400,532900,519700,506400,494000,490600,487200,484100,491500,496800,504200,513800,523500,532500,538500,544200,548200,556800,564800,574400,580700,584700,582200,581100,579600,576200,578300,579300,580700,592000,609100,620300,634000,647600,654300,661700,665000,662800,662600,662000,658200,660900,671600,676300,677200,674400,668400,661100,657400,653200,646400,639900,634600,631500,639800,641900,648300,648400,650400,652000,652500,653800,653100,653400,653700,658600,662600,666700,669000,670400,672100,674800,673500,677800,678500,682600,685600,694400,708500,725400,738600,753400,768100,779700,791500,800900,813200,826600,838400,864400,911800,949800,978200,1001800,1014700,1022800,1012500,997500,973400,960300,948400,948900,960500,975600,997700,1016600,1026200,1029400,1021500,1016400,1012100,1009300,1005700,1006700,1005700,1003300,1001200,994500,989500,979600,967500,952300,940600,924800,907800,894200,885600,884200,881000,876900,874100,873500,874900,879700,885700,887700,888300,894400,906400,912800,914500,916500,922200,935000,950000,963300,975900,989000,1002900,1029000,1074000,1130800,1166900,1191900,1199900,1204200,1219200,1235100,1261600,1291000,1322000,1374200,1436000,1468800,1471900,1458100,1427800,1391100,1346700
'Vancouver_Island',212100,216100,220300,224800,229500,234200,238900,243700,248700,251500,254300,257100,259900,262400,265100,270200,275100,280700,282900,284900,286900,287400,287800,288300,289700,291000,292400,297200,301900,307100,311300,315500,319600,321600,323600,325600,327800,327100,329400,332400,337000,339700,341100,340400,336500,332400,324900,316200,312000,306300,301000,304600,302700,305900,306700,310400,313500,316600,317400,319100,321000,322900,323900,327100,332100,331800,331000,329000,325700,324800,324400,321200,320900,321700,321600,322500,325500,326100,328800,328600,326800,323000,322200,320100,320100,313900,313100,314800,319400,320300,319900,318300,317600,317900,311500,309200,307300,311800,311000,306700,307200,306500,311100,313600,313800,311800,309200,309600,309700,311600,312300,315000,316500,318600,321400,322400,324400,322000,318100,317600,318600,318800,321700,325800,327700,332300,336000,339400,340100,340000,339400,337100,339600,342800,345700,350900,359300,368200,377700,383100,386900,390800,395100,400100,402500,403400,407800,416000,424800,429900,440000,442600,446500,448000,453100,455200,461900,460700,468100,476300,484500,491300,499400,500100,500500,498000,498500,493500,495300,494900,494500,499200,507600,509500,509500,510100,513200,513300,510900,505600,507700,509900,514300,518800,524300,526200,529800,534200,543100,552200,556100,563300,570700,583800,604500,631200,665100,685500,703000,711800,718100,727200,739200,754400,776900,793300,820800,853400,867000,865600,856700,842800
'Victoria',370800,375400,380000,388800,397900,407200,413300,419400,425700,428700,431900,435100,441100,446500,451300,455800,461100,466500,467900,469900,471800,468800,466300,463400,467800,471900,475900,484800,494400,504500,507900,510600,513600,518200,523200,528100,529100,531500,537900,539800,542700,546400,547100,547300,543300,531900,519400,507900,498000,490700,493000,498200,500600,509100,513000,521200,525900,533100,536300,538800,542000,548200,554800,561400,565500,565500,563900,558600,549100,549200,548800,544000,546200,545400,546700,547200,551200,553800,555300,553100,546500,542500,538400,537000,538800,532800,532900,528400,536400,540000,542600,542200,536500,534300,531700,522500,518900,514900,515800,520800,526100,520800,524200,523900,525000,521800,518000,516600,519600,519400,524100,527700,528900,535700,533600,536100,533700,531000,538000,534300,534500,533500,538600,543200,553500,558800,560700,561900,569400,571900,573600,573700,579000,581700,600400,619700,635700,653600,664400,675100,678300,682200,692500,695500,705000,706200,720400,730900,742100,757900,766800,777700,768400,767400,760400,759900,764700,772700,790000,800600,808600,811000,808200,811500,805700,801000,798300,787800,776100,771700,774000,773400,785200,785700,788100,783100,790100,788400,788600,795200,793600,803900,808300,819200,823600,824800,832500,847100,856000,864700,877500,886700,903000,917000,939100,972100,1017000,1038600,1060500,1066900,1068300,1079800,1109200,1127600,1159600,1180000,1234800,1275400,1294600,1301300,1280600,1248900
'Lower_Mainland',456600,460300,463700,467500,471000,474700,480600,486500,492500,496200,499900,503400,513200,523200,533200,544300,555300,566600,572200,577600,583100,582900,583000,582800,590600,598400,606400,616000,625400,635300,639300,643300,647400,649100,650400,652100,660000,668700,677300,678400,680200,681600,670500,659600,649200,633300,618000,603300,599900,597200,594800,603800,612900,620900,633800,647200,660100,667700,675300,682700,696600,707900,722200,729600,732800,729300,726800,724600,723500,724600,727700,734900,751100,777400,795000,814700,831300,841600,851000,856100,853100,853100,851800,847200,851100,871100,876700,879700,872500,865400,855600,850100,846200,838500,829800,822500,821200,833800,837000,845000,845900,848300,850500,851800,853800,857600,859700,862600,871100,877900,885300,888100,890200,893200,896900,894400,901900,907200,913300,919600,936500,957400,979700,996300,1018000,1038400,1057200,1073900,1088100,1107900,1126200,1146500,1189500,1258700,1309500,1349800,1382100,1402300,1415900,1401500,1379800,1340900,1319300,1299700,1296600,1317800,1341100,1370200,1397600,1410900,1416100,1405900,1399900,1394400,1390700,1385400,1386000,1386300,1379600,1377600,1368200,1362500,1346600,1330600,1310500,1299400,1277200,1256000,1233700,1233700,1233700,1234300,1226900,1224500,1217800,1218300,1221800,1234400,1233300,1236100,1246600,1262300,1275500,1282500,1283700,1288800,1305400,1320100,1335400,1348900,1365800,1383000,1416700,1478300,1553300,1591100,1611300,1607000,1600500,1616400,1642600,1676400,1713400,1754000,1829400,1914200,1951900,1945000,1922300,1876500,1819400,1759700
'Greater_Vancouver',533600,537900,542200,546600,551000,555500,562200,569000,576000,579800,583600,587500,599400,611600,624100,636900,649900,663400,668500,673600,678900,677800,676700,675700,686000,696600,707500,720100,732900,746000,751800,757700,763600,766200,768800,771400,783200,795500,807900,809800,812200,814700,798800,783500,768300,747300,727000,707200,704400,701300,698800,710900,723100,733800,750300,767600,785300,795600,805800,816400,834900,849000,870000,878400,883000,876400,873300,871000,870400,871300,875900,887300,912000,950100,973500,1000100,1022500,1037600,1050700,1058800,1052600,1051500,1049800,1043500,1050100,1081300,1086700,1091000,1077800,1068100,1052700,1045700,1040800,1030600,1019800,1009100,1006600,1022800,1023400,1035500,1034800,1038700,1042500,1045400,1048300,1055800,1059400,1063700,1077000,1083900,1094800,1098700,1101500,1104500,1109500,1103300,1113000,1118800,1128800,1138200,1161400,1191900,1220100,1242300,1271400,1296400,1322100,1343600,1361600,1387400,1410900,1439000,1494300,1579500,1640800,1686900,1722400,1744600,1762900,1737800,1708100,1653000,1625400,1597100,1589900,1619700,1646900,1684600,1716200,1726800,1728300,1711500,1704500,1698700,1690900,1679300,1675100,1673400,1658900,1648500,1631700,1625800,1604400,1585200,1560500,1548600,1521800,1495000,1455800,1450400,1456500,1452700,1441000,1437000,1424000,1425500,1430700,1445900,1446100,1449100,1462600,1474800,1491200,1498500,1500200,1504800,1518400,1534400,1551500,1564500,1584400,1600000,1630000,1685400,1761700,1801300,1819200,1812600,1802200,1811800,1837900,1863800,1888400,1920200,1979700,2060000,2096000,2099900,2092700,2057200,1999200,1955800
'Fraiser_Valley',353100,355900,358100,361000,363400,366100,370900,375500,380200,383800,387300,390400,397400,404300,411100,419800,428000,436500,442600,448400,454100,455300,456900,457900,462100,466200,470500,475900,480900,486300,488000,489600,491100,491700,491200,491700,494200,498100,501300,501000,501900,501900,497600,493000,489000,480200,471200,463300,458900,455900,452400,455600,459300,462700,469200,475600,481300,485000,488700,491900,499200,506300,511400,517800,518700,518900,516700,513400,511800,512600,513000,512900,515200,522500,531800,541300,548400,550100,553300,554000,555000,555700,554800,553200,552900,556500,563900,567100,570000,568800,568700,567600,566000,562400,557700,554800,555200,563100,569000,571300,573300,573000,572900,572700,572500,571500,570500,571600,574000,581800,584000,584000,585400,588600,589100,590700,593600,596700,597200,598200,605600,611900,622200,629100,639500,651000,660300,669300,678400,689900,701100,710300,738000,785400,825700,860100,894200,915200,925000,928000,920600,906500,896000,889900,893800,904500,924600,946100,970900,991400,1003700,1004600,1002200,999300,1002500,1006800,1015800,1021900,1030000,1040500,1040800,1036700,1027000,1015900,1002200,993300,977500,964300,962500,970400,963700,969000,964700,962600,962700,960700,960300,968300,964400,967200,974600,994700,1003300,1008000,1007700,1012000,1032800,1046700,1059700,1075000,1089200,1109200,1147800,1217300,1291100,1327900,1350900,1349500,1348200,1372300,1398200,1441300,1493600,1545600,1640700,1731300,1769600,1748200,1705400,1645800,1588700,1507800
'Chilliwack_and_District',241700,244800,251800,256300,258900,259200,264100,266200,270200,270000,272700,270700,280700,284600,288500,293000,299900,301100,308000,312200,316400,319400,320600,317400,322700,326000,330900,339200,350500,350400,355200,356000,359200,361100,360000,361600,367700,366200,370100,370900,364800,359500,360800,354100,353000,339100,324500,328400,318700,324800,323100,324400,325100,330700,333400,332000,331500,336300,343500,331000,338800,338200,345100,349700,343600,345400,349100,347300,339600,339600,334200,323900,320200,321100,333100,333000,342100,341900,337500,335700,336700,331900,332200,337600,331400,332400,341300,336100,333000,336300,334200,334700,334700,331000,329700,332300,332400,332400,341900,343300,345200,340000,336500,347200,338500,338600,335400,342000,341800,349700,337200,340900,344600,344500,346800,344800,341900,343000,348900,354800,353300,355200,357700,360200,359200,367700,369600,371200,374300,377300,387200,387400,387800,403400,426300,442000,469200,484300,489900,493400,495300,490100,487700,492100,509800,515800,520700,545100,562900,567900,575600,577700,572500,590700,591600,593300,603600,611300,628300,633900,618100,626000,609200,612300,608100,596900,592400,582800,595300,582700,598700,602700,595000,595300,591000,600000,595800,595200,601000,585200,600100,606600,612800,609100,630300,636000,636700,651800,663700,671700,685300,690300,745400,800700,837900,843000,846300,858800,858100,881900,896100,929200,971900,999700,1076700,1117100,1058700,1028700,997100,962500,963000,898700
'Interior_BC',223000,227300,231700,238900,241900,244900,249700,253100,258700,259000,259200,261900,265800,276800,280400,292300,300400,304600,308000,313700,314300,319500,314900,316500,324100,333700,338400,346900,354800,362100,373300,376100,384500,387500,387300,381700,388500,397400,405600,407600,405400,405000,401000,393500,384800,374900,363900,351900,354000,351100,345200,352200,351600,355800,362800,364000,365500,365000,367000,366100,365100,369100,369500,373200,377000,373500,370700,367100,358900,363100,356200,345800,351000,355400,353300,356900,364200,359400,361700,357000,354200,352100,353200,348500,347700,346200,353100,354100,362900,355900,353300,359400,355000,347600,349000,347100,338300,343700,345200,356800,355700,359900,358800,358700,362500,352800,354700,348300,351700,355000,359300,366500,371400,371000,377400,378000,379200,372600,373800,372300,365700,374900,384300,392600,395000,398200,395300,399600,397600,393400,395700,394200,383700,396900,415300,418700,426200,433200,444200,446300,447200,449600,449000,445600,454300,456400,464800,479100,488400,499100,498100,494500,498100,495100,498700,495700,502800,507000,516200,518000,521800,522600,528600,521700,515200,509200,506300,497000,504000,497400,511600,515800,520400,513200,521000,517200,517300,510500,515100,513300,514700,525700,525000,528700,531100,539000,545100,555200,564400,576800,582800,591500,602600,629000,661900,695400,710800,727800,733100,742200,740000,755600,767600,783800,796200,839600,870800,873700,865100,844400,826400,797100
'Alberta',196000,199500,204300,208400,211600,214700,217500,220300,223500,226700,230100,232800,242700,254800,268200,285900,304300,321000,334400,346000,352500,354500,356300,359800,368300,381300,395800,406900,417500,422700,422300,420500,418000,410300,402600,395000,395600,397400,398200,397200,394100,389100,384400,382000,379200,372300,366200,357300,351300,349200,348400,349400,353700,357400,362600,366900,369400,372000,373900,374700,376800,381100,385900,388100,388900,385800,382600,378300,373600,369200,367300,364400,366300,369300,375100,378700,381100,382300,382200,381200,379500,377800,374600,374000,375400,379500,383400,389100,392000,394400,393600,393000,393500,394700,394000,393800,396200,402200,406900,411700,414400,416300,417800,419300,421400,422900,422500,423500,428000,436500,443100,447900,452600,454700,454800,454700,455000,454700,454700,453600,454400,452600,452400,451700,451100,451600,452700,451600,450500,447000,443300,439900,437900,436300,435400,436400,438600,439800,440800,441300,440100,438000,435500,434200,435300,438500,441400,444100,447500,449700,449900,448900,446600,442600,441000,438600,440000,443900,446700,447600,448100,447800,445000,442600,438200,437100,434400,430300,426500,426600,430300,431500,433300,434700,434000,433400,432300,430100,426000,423200,422800,424200,427900,424600,425600,427000,431600,433700,434900,435300,436600,436300,437600,444900,457500,465600,471700,475700,477100,475300,472700,474800,472900,475300,487400,514000,531100,540000,540700,539600,534900,525600
